"filename", "language", "YAML", "Swift", "C++", "HTML", "JSON", "Markdown", "XML", "Dart", "Java Properties", "Groovy", "Kotlin", "comment", "blank", "total"
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\constant\notified_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\constant\task_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 4, 88
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\controllers\bottomnavigationcontroller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 5, 55
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\controllers\task_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 9, 35
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\db\db_helper.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 10, 58
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 4, 39
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\models\SettingTemplate.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 7, 51
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\models\contactsTemplate.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 20, 10, 87
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\models\notificationtemplate.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\models\profile.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 2, 13, 176
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\models\task.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 6, 52
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\apis\api_manager.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\apis\google_api_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 11, 88
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\constants\api_constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\constants\file_constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\constants\fontsize_constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\constants\key_constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\constants\size_constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\constants\space_constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\location\location_manager.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 10, 96
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\model\error_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\pharamacy_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\providers\info_window_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 16, 85
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\providers\map_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\ui\cluster\map_helper.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 2, 7, 115
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\ui\cluster\map_marker.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 2, 5, 44
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\ui\infowindow\model\pharmacy_details_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 14, 70
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\ui\infowindow\pharmacy_infowindow.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 6, 99
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\ui\infowindow\square_image.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 3, 35
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\ui\map_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 291, 0, 0, 0, 0, 16, 307
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\ui\widgets\pharmacy_rating_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 4, 39
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\ui\widgets\triangle_anchor_shape.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\utils\permission_utils.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 4, 32
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\pharamacyMap\utils\reusable_methods.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 7, 30
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\screens\accessibility.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 2, 7, 157
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\screens\bottomnavigator.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 1, 6, 60
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\screens\homepage\addMedicine\add_med.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 1, 18, 253
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\screens\homepage\homepage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 264, 0, 0, 0, 6, 20, 290
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\screens\logout.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\screens\mobile_number.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 4, 7, 108
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\screens\notification.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 2, 11, 128
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\screens\onboarding\onboarding_content.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 3, 30
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\screens\onboarding\onboarding_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 1, 10, 207
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\screens\pswd.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 2, 11, 148
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\screens\settings.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 1, 5, 156
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\screens\splash screen\splash_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 7, 55
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\screens\test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 4, 34
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\screens\user_name.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 4, 7, 99
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\twilio\http_twilio.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"d:\montages\flutter projects\Githug Projects\medication_remainder\lib\twilio\twilio_sms_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 1, 10, 50
